Rk,GF90,Pts/MP,xGD/90,Age,Poss,npxG,Saves90,Save%,PSxG+/-/90,#OPA/90,Sh/90,SoT/90,PKPer,Cmp90,Cmp%,KP90,FIN1/3/90,SCA90,Att3rd90,AttPen90,Succ%,TklW90,Won%
7,1.789473684,1.63,0.12,27.2,51.6,1.29,2.973684211,77.4,0.1,0.63,11.53,4.39,1,434.4210526,80.2,8.315789474,27.23684211,20.84,129.1578947,18.28947368,56.4,9.5,48.9
19,0.921052632,0.68,-0.89,26.4,37.9,0.86,4.368421053,71.3,-0.13,1,8.82,2.79,1,257.0789474,69.9,6.342105263,21.63157895,15.16,109.8947368,14.97368421,52.3,8.631578947,47.9
6,1.631578947,1.71,0.14,27.8,43.2,1.37,2.710526316,70.1,-0.03,0.45,12.21,4.16,0.5,334.8684211,75.3,8.947368421,27.28947368,21.63,131.1842105,19.84210526,55,7.368421053,52.2
13,0.947368421,1.18,-0.16,26.3,49.3,0.88,2.684210526,70.4,-0.07,0.32,12.08,3.92,1,409.1578947,80.9,9.078947368,29.39473684,21.5,135.2894737,18.28947368,60.1,8.815789474,49.1
5,1.605263158,1.82,0.34,24.4,52.8,1.64,2.631578947,70.7,0.02,1.61,15.29,4.89,0.625,425.6842105,81.5,11.5,35.63157895,26.89,168.3947368,25.31578947,54.1,8.184210526,44.7
14,1.368421053,1.18,-0.13,26.1,46.5,1.21,2.526315789,66.4,-0.14,0.89,12.13,4.18,1,335.4736842,77.3,9.368421053,26.81578947,21.87,131.1315789,21.47368421,56.7,10.05263158,49
13,1.263157895,1.21,-0.04,25.4,44.8,1.22,3.289473684,71.5,-0.12,1.53,11.47,3.71,1,307.2631579,71.8,8.184210526,24.78947368,19.58,118.8157895,21.23684211,55,9,49.6
9,1.105263158,1.34,0.01,26.2,54.4,1.25,2.684210526,71.9,-0.04,0.95,12.68,3.71,0.571428571,431.8421053,79.7,9.368421053,31.23684211,23,168.4473684,22.65789474,56.7,10.60526316,53.3
18,0.894736842,0.92,-0.47,28.5,40.2,1.13,3.342105263,73,-0.09,2.21,10.66,3.13,0.5,248.7631579,67,7.526315789,23.07894737,17.95,122.0789474,17.34210526,53.9,8.526315789,53
3,2,1.95,0.82,27.4,61.8,1.69,2.184210526,76.5,-0.01,1.42,15.34,5.26,0.888888889,557.6315789,85.1,11.55263158,42.47368421,28.03,204.3157895,27.71052632,58.3,9.157894737,52.5
12,1.315789474,1.26,0.14,27.1,51.1,1.25,2.605263158,70.1,-0.14,1.13,10.63,3.68,0.75,394.2894737,78.5,8.026315789,26.05263158,18.74,128.1315789,19.31578947,55.7,9.815789474,49.6
16,1.131578947,1.03,-0.31,26.7,40,1.11,3.342105263,66,-0.13,0.97,11.32,3.42,0.857142857,272.7631579,71.2,8.5,23.60526316,19.39,129.7894737,19.07894737,53.2,10.57894737,46.7
17,1.105263158,1,-0.6,26.1,52.3,1.22,3.842105263,67,-0.41,1.24,12.63,3.74,1,368.1052632,76.5,9.131578947,26.18421053,22.13,127.4473684,20.52631579,51.8,11.47368421,42.9
8,1.631578947,1.37,-0.27,26.5,52,1.33,3.473684211,72.9,-0.03,1.03,11.39,4.32,1,424.4473684,80.1,8.210526316,26.97368421,19.71,128.2105263,19.23684211,54.3,10.10526316,48.9
2,2.473684211,2.42,1.46,27.7,62.7,2.35,2.157894737,75.7,0.04,2.42,18.97,6.24,0.875,556.9210526,82.8,13.86842105,49.42105263,32.61,218.5526316,35.73684211,54,8.421052632,55
1,2.605263158,2.45,1.61,27,67.9,2.35,1.552631579,70.6,-0.01,1.53,18.53,6.24,0.777777778,642.2631579,87.5,14.10526316,55.52631579,33.84,253.2368421,39.26315789,57.4,7.473684211,54.8
6,1.5,1.53,0.01,27.2,52.7,1.52,3.263157895,70,0.03,0.66,13.24,4.71,0.6,439.2105263,80.9,10.71052632,34.60526316,24.18,164.7368421,23.02631579,58.3,9.421052632,55.6
11,1.157894737,1.29,-0.39,27.5,40.4,1.11,2.736842105,65.5,-0.2,0.47,11.74,3.74,1,268.4473684,72.7,8.105263158,20.81578947,20.03,112.5,18.81578947,56.8,10.05263158,52.2
20,0.605263158,0.58,-1.15,26.2,42.9,0.88,3.657894737,66.2,-0.38,0.87,9.74,2.74,1,320.1052632,75.7,6.947368421,19.44736842,16.74,108.1842105,15.57894737,51.3,9.684210526,45.2
15,1.131578947,1.05,-0.31,25.7,47.7,1.23,3.105263158,64.5,-0.21,0.87,12.58,4.24,1,329.0789474,73.8,9.289473684,26.73684211,21.66,149.0526316,21.52631579,56.1,8.947368421,48.1
4,1.815789474,1.87,0.67,26.5,51.8,1.65,2.578947368,72.3,-0.04,1.18,12.79,4.87,1,452.7368421,83.1,9.973684211,30.84210526,23.16,146.2631579,22.44736842,56.2,9.184210526,52.8
19,0.894736842,0.61,-0.73,28.4,40.7,1.12,2.973684211,62.2,-0.36,1.29,10.45,3.24,0.5,274.2894737,71.2,7.842105263,21.94736842,18.21,112.3947368,16.07894737,52.6,9.368421053,48.7
7,1.578947368,1.47,-0.03,28.2,47.9,1.41,2.973684211,70.3,-0.03,0.32,11.66,3.74,0.666666667,376.9736842,78,8.421052632,29.10526316,20.42,143.4473684,21.21052632,56.1,7.921052632,50.4
10,1,1.34,-0.64,27.3,49.5,1.07,3.289473684,79.6,0.19,1.08,10.55,3.5,1,401.3947368,79.8,7.736842105,28.84210526,18.39,127.2368421,18.34210526,58.4,9.921052632,48.5
1,2.384615385,2.62,0.99,24.7,57.5,1.82,1.923076923,71.4,-0.2,1.08,15.92,5.69,1,461.6923077,83.3,11.92307692,40.07692308,28,195.0769231,33.38461538,47.6,9.461538462,46
13,1,1.07,-0.21,27.4,48.4,1.07,2.857142857,67.8,-0.3,0.43,11.07,3.93,1,361.9285714,77.9,7.785714286,28.78571429,19.57,132.7142857,18.14285714,37.5,9.785714286,49.1
17,1.071428571,0.93,-1.01,26.8,38.6,0.66,2.928571429,62,-3.7,0.43,7.57,2.86,0,298.2857143,76,6,20.14285714,13.21,96.64285714,14.78571429,39.9,10.42857143,46.7
11,1.5,1.14,0.02,26.3,46,1.14,4.214285714,71.6,-2,1.57,10.14,3.64,1,319.5,74.7,7.214285714,24.35714286,18.21,126.8571429,20,38.2,9.214285714,53.7
6,1.692307692,1.62,0.5,27.6,54.7,1.43,2.461538462,69.6,0,0.46,14.23,5.15,1,435.5384615,80.7,11.38461538,36.38461538,25.15,177.3076923,27.07692308,38.4,10.15384615,49.4
7,1.307692308,1.62,-0.25,27.8,58.6,1.05,3.461538462,72.9,3.7,2,11.46,3.85,1,484.4615385,82.6,9.153846154,37.84615385,20.77,186.5384615,25.23076923,37.7,10.30769231,52.6
10,1.153846154,1.46,-0.35,27.6,46.2,0.9,2.769230769,67.3,-1.2,1.08,11.15,4,0,368.2307692,79.3,8.846153846,25,20,120.2307692,18.23076923,45.7,10.84615385,49.8
16,0.785714286,1,-0.6,26.5,43.4,1.04,4.214285714,83.6,3.9,1.5,10.14,3.43,0,322.3571429,76.2,7.214285714,24.21428571,17.14,117.5714286,18.78571429,37.1,11.42857143,45.1
9,1.642857143,1.36,-0.46,28.5,45.2,1.03,3.785714286,72.7,-0.4,1.29,11.64,3.71,0.8,328.8571429,75.9,8.857142857,24,21.21,127.6428571,19.14285714,38.3,9.285714286,52.4
12,1.461538462,1.15,0.07,25.5,51.5,1.36,3.153846154,66.1,-1.5,1.46,12.92,4.08,0.5,362.9230769,75,10.07692308,31.23076923,22,151.9230769,20.76923077,39.8,13.46153846,51.1
